,LAT,Year,LONG,LC1,LC2,LAND_MNGT,CLASS,Country
28229,38.06868,2012,14.67631,C10,8,2.0,Forest,Italy
28230,40.92495,2012,14.88519,C10,8,2.0,Forest,Italy
28231,40.99713,2012,14.89082,C10,8,2.0,Forest,Italy
28232,41.05127,2012,14.89505,C10,8,2.0,Forest,Italy
28233,41.32191,2012,14.91636,C10,E10,2.0,Forest,Italy
28234,41.4121,2012,14.92352,C22,8,2.0,Forest,Italy
28235,41.0728,2012,14.82549,C33,8,2.0,Forest,Italy
28236,41.23519,2012,14.83807,C10,8,2.0,Forest,Italy
28237,41.3254,2012,14.8451,C10,8,2.0,Forest,Italy
28238,41.48776,2012,14.85782,C10,8,2.0,Forest,Italy
28239,41.54187,2012,14.86209,C10,8,2.0,Forest,Italy
28240,37.27362,2012,14.5778,C10,8,2.0,Forest,Italy
28241,40.90573,2012,14.90738,C10,8,2.0,Forest,Italy
28242,40.95987,2012,14.91162,C10,8,2.0,Forest,Italy
28243,37.54768,2012,14.55091,C33,8,2.0,Forest,Italy
28244,37.87383,2012,14.57254,C10,8,2.0,Forest,Italy
28245,37.79919,2012,14.61274,C10,8,2.0,Forest,Italy
28246,37.85354,2012,14.6164,C10,8,2.0,Forest,Italy
28247,37.96222,2012,14.62374,C10,8,2.0,Forest,Italy
28248,41.35681,2012,14.94299,C10,8,2.0,Forest,Italy
28249,37.9644,2012,14.5786,C10,8,2.0,Forest,Italy
28250,40.69489,2012,14.77295,C23,8,2.0,Forest,Italy
28251,40.89346,2012,14.78802,C10,8,2.0,Forest,Italy
28252,41.21599,2012,14.86038,C33,8,2.0,Forest,Italy
28253,41.3446,2012,14.82275,C10,8,2.0,Forest,Italy
28254,41.43248,2012,14.87737,C10,8,2.0,Forest,Italy
28255,41.75712,2012,14.90315,C10,8,2.0,Forest,Italy
28256,37.64675,2012,14.37718,C10,8,2.0,Forest,Italy
28257,37.91855,2012,14.39454,C10,8,2.0,Forest,Italy
28258,41.45967,2012,14.68834,C10,8,2.0,Forest,Italy
28259,41.56791,2012,14.69657,C10,8,2.0,Forest,Italy
28260,41.69417,2012,14.70622,C10,8,2.0,Forest,Italy
28261,37.26294,2012,14.42023,C10,8,2.0,Forest,Italy
28262,40.84826,2012,14.59529,C10,8,2.0,Forest,Italy
28263,40.90242,2012,14.59925,C33,8,2.0,Forest,Italy
28264,41.22732,2012,14.62321,C10,8,2.0,Forest,Italy
28265,41.2995,2012,14.62858,C10,8,2.0,Forest,Italy
28266,41.78435,2012,14.71315,C10,8,2.0,Forest,Italy
28267,37.40798,2012,14.42946,C10,8,2.0,Forest,Italy
28268,37.96976,2012,14.46575,C10,8,2.0,Forest,Italy
28269,37.80458,2012,14.50016,C10,8,2.0,Forest,Italy
28270,38.00386,2012,14.51329,C10,8,2.0,Forest,Italy
28271,40.84271,2012,14.71317,C10,8,2.0,Forest,Italy
28272,41.38972,2012,14.63532,C10,8,2.0,Forest,Italy
28273,41.46189,2012,14.64073,C10,8,2.0,Forest,Italy
28274,41.62426,2012,14.65296,C33,8,2.0,Forest,Italy
28275,38.00598,2012,14.46813,C10,8,2.0,Forest,Italy
28276,40.6644,2012,14.65269,C10,8,2.0,Forest,Italy
28277,41.05931,2012,14.72947,C10,8,2.0,Forest,Italy
28278,41.25782,2012,14.74456,C10,8,2.0,Forest,Italy
28279,41.66034,2012,14.65569,C10,8,2.0,Forest,Italy
28280,41.94891,2012,14.67769,C10,8,2.0,Forest,Italy
28281,41.1518,2012,14.68893,C10,8,2.0,Forest,Italy
28282,41.38638,2012,14.70666,C10,D10,2.0,Forest,Italy
28283,41.38411,2012,14.75422,C10,8,2.0,Forest,Italy
28284,41.4202,2012,14.75699,C10,8,2.0,Forest,Italy
