"POINT_ID","NUTS0","NUTS1","NUTS2","TH_LAT","TH_LONG","SURVEY_DATE","OBS_TYPE","PI_EXTENSION","GPS_PROJ","GPS_PREC","GPS_LAT","GPS_EW","GPS_LONG","GPS_ALTITUDE","OBS_DIST","OBS_DIR","LC1","LC1_SPECIES","LC1_PCT","LC2","LC2_SPECIES","LC2_PCT","OBS_RADIUS","LU1","LU1_TYPE","LU1_PCT","LU2","LU2_TYPE","LU2_PCT","AREA_SIZE","TREES_HEIGHT_MATURITY","TREES_HEIGHT_SURVEY","FEATURE_WIDTH","LAND_MNGT","LC_LU_SPECIAL_REMARK","PROTECTED_AREA","WM","WM_SOURCE","WM_TYPE","WM_DELIVERY","SOIL_TAKEN","SOIL_PLOUGH","SOIL_CROP","SOIL_STONES","PHOTO_P","PHOTO_N","PHOTO_E","PHOTO_S","PHOTO_W","INSPIRE_PLCC1","INSPIRE_PLCC2","INSPIRE_PLCC3","INSPIRE_PLCC4","INSPIRE_PLCC5","INSPIRE_PLCC6","INSPIRE_PLCC7","INSPIRE_PLCC8","TRANSECT"
36283458,"UK","UKE","UKE1",53.773851621,-0.552711121,"19/05/15",2,"",1,16,53.772876,"W",0.551201,191,151,1,"B13","8",7,"8","8",8,1,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B13;01;13;23;01;24;62"
35283460,"UK","UKD","UKD3",53.651801995,-2.055870514,"18/06/15",1,"",1,23,53.6518,"W",2.05585,381,1,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20"
35823460,"UK","UKE","UKE2",53.729574388,-1.247710776,"29/06/15",3,"",1,15,53.72549,"W",1.253103,73,579,1,"E20","8",7,"8","8",8,2,"U370","8",7,"8","8",8,1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,8,1,1,1,1,0,0,0,100,0,0,0,0,"PI;E20;A;E10;02;61;C10;01;BX1;PI"
35863460,"UK","UKE","UKE2",53.735122637,-1.187739507,"29/06/15",1,"",1,15,53.735172,"W",1.187159,55,39,1,"B11","8",7,"8","8",8,1,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B11;13;01;62;01;31;01;B11"
32003620,"UK","UKN","UKN1",54.457030472,-7.477653251,"22/10/15",2,"",1,13,54.457427,"W",7.479107,209,104,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,1,7,4,5,8,8,8,2,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;14;E20;14;E20;14;PI;E20;14;E20;PI"
34383622,"UK","UKM","UKM9",54.936105616,-3.87026474,"01/07/15",1,"",1,18,54.936102,"W",3.870246,167,1,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;E20;D20;E20;32;E30;E20"
35103622,"UK","UKD","UKD1",55.055020162,-2.762602426,"30/07/15",1,"",1,16,55.054999,"W",2.762598,208,0,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;C21;23;E20;23;01;61;01;23;13;E20"
36043460,"UK","UKE","UKE1",53.759725845,-0.917690623,"28/04/15",1,"",1,14,53.759732,"W",0.917711,57,2,1,"B13","8",7,"8","8",8,1,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B13;01;62;01;B11"
36243464,"UK","UKE","UKE1",53.821859323,-0.626301596,"06/05/15",1,"",1,12,53.821855,"W",0.626271,103,5,1,"B11","8",7,"8","8",8,1,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B11;01;13;01;62;01;62;C10;A;E20"
35383462,"UK","UKE","UKE4",53.684297698,-1.911440076,"07/05/15",1,"",1,20,53.684276,"W",1.911433,322,3,1,"C10","C106",6,"E30","8",3,2,"U111","8",7,"8","8",8,3,2,2,2,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,80,0,20,0,0,0,0,"C10;E30;C10;E20"
34683622,"UK","UKM","UKM9",54.986839149,-3.409471113,"17/07/15",1,"",1,13,54.986809,"W",3.409473,67,1,1,"E20","8",6,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;13;01;62;01;13;23;E20;23;E20;23;E20;23;21;13;23;C21;PI;C21;PI"
31703626,"UK","UKN","UKN1",54.443489469,-7.950765925,"14/10/15",3,"",1,18,54.439112,"W",7.929902,233,1434,1,"C21","C21E",7,"8","8",8,2,"U120","8",7,"8","8",8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,8,1,1,1,1,100,0,0,0,0,0,0,0,"PI;C21;61;C21;61;C21;61;C21;PI"
36303466,"UK","UKE","UKE1",53.847465788,-0.54051372,"14/05/15",1,"",1,15,53.847628,"W",0.540585,134,15,1,"B32","8",7,"8","8",8,1,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B32;E20;61;01"
35523468,"UK","UKE","UKE4",53.757826984,-1.7168031,"01/05/15",1,"",1,13,53.757677,"W",1.71717,243,29,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,3,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;E20;23;E20;23;E20"
36063468,"UK","UKE","UKE1",53.833367635,-0.90613001,"27/04/15",3,"",1,17,53.83123,"W",0.910285,65,362,1,"E20","8",7,"8","8",8,2,"U362","8",7,"8","8",8,4,8,8,8,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"PI;E20;14;A;E20;61;E20;61;E20;G11;E20;PI"
32343628,"UK","UKN","UKN1",54.598908787,-6.995553175,"29/07/15",1,"",1,14,54.5989,"W",6.995543,260,0,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;13;23;61;E20;23;13;61;01;23;E20;13;23;01;61;01;61;23;E20"
32683628,"UK","UKN","UKN1",54.66923494,-6.481601061,"17/03/16",7,"1",8,8888,88.888888,"8",88.888888,8888,8888,1,"G11","8",7,"8","8",8,1,"U420","8",7,"8","8",8,4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,"PI;G11;PI"
33123628,"UK","UKN","UKN1",54.757097211,-5.814110319,"15/09/15",1,"",1,16,54.756443,"W",5.813753,266,76,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;24;E20;23;14;E20;24;E20;23;31;14;24;01;62"
31843626,"UK","UKN","UKN1",54.474316853,-7.740711895,"20/10/15",1,"",1,15,54.474309,"W",7.740707,98,1,1,"F10","8",7,"8","8",8,2,"U361","8",7,"8","8",8,3,8,8,8,2,9,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,100,0,"F10;C33;01;61;01;C33"
34883472,"UK","UKD","UKD4",53.696680214,-2.684697572,"21/05/15",1,"",1,22,53.696698,"W",2.684434,91,18,1,"A11","8",7,"8","8",8,1,"U370","8",7,"8","8",8,1,8,8,8,8,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"A"
32723628,"UK","UKN","UKN1",54.67736946,-6.421029849,"17/03/16",7,"1",8,8888,88.888888,"8",88.888888,8888,8888,1,"G11","8",7,"8","8",8,1,"U420","8",7,"8","8",8,4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,"PI;G11;PI"
32743628,"UK","UKN","UKN1",54.6814257,-6.390735933,"17/03/16",7,"1",8,8888,88.888888,"8",88.888888,8888,8888,1,"G11","8",7,"8","8",8,1,"U420","8",7,"8","8",8,4,8,8,8,8,7,4,8,8,8,8,4,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,"PI;G11;PI"
35123630,"UK","UKD","UKD1",55.128770734,-2.754292009,"05/06/15",1,"",1,26,55.128785,"W",2.754237,243,4,1,"C31","C31E",7,"8","8",8,2,"U120","8",7,"8","8",8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,75,25,0,0,0,0,0,0,"C31;31;C31;31;61;C31;31;C21;E10;32;C10;61;C21"
35263630,"UK","UKC","UKC2",55.150748183,-2.537832584,"16/06/15",3,"",1,16,55.163185,"W",2.533036,258,1421,1,"C21","C21E",7,"8","8",8,1,"U120","8",7,"8","8",8,4,2,2,2,2,7,4,8,8,8,8,4,8,8,8,8,1,1,1,1,100,0,0,0,0,0,0,0,"PI;C21;31;62;E10;C21;PI"
34943474,"UK","UKD","UKD4",53.72370651,-2.600376584,"28/05/15",3,"",1,30,53.723888,"W",2.60035,185,21,1,"E20","8",7,"8","8",8,1,"U370","8",7,"8","8",8,1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"PI;E20;PI;A;01;23;E20;23;E20;23;14;31;E20"
35123474,"UK","UKD","UKD4",53.751433029,-2.331139011,"28/05/15",3,"",1,12,53.751048,"W",2.329909,342,90,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,1,7,4,5,8,8,8,2,8,8,8,2,1,1,1,1,0,0,0,100,0,0,0,0,"PI;E20;A;E20;13;01;21;E20;PI"
32823634,"UK","UKN","UKN1",54.749902555,-6.290779416,"02/09/15",1,"",1,19,54.750038,"W",6.290784,98,15,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,1,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;14;23;61;14;23;E20;A"
35783476,"UK","UKE","UKE4",53.865734771,-1.346037325,"20/04/15",1,"",1,17,53.865742,"W",1.346014,100,2,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;23;E20"
31923634,"UK","UKN","UKN1",54.561175729,-7.651039705,"21/10/15",2,"",1,17,54.562303,"W",7.649537,173,160,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,3,8,8,8,1,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,100,0,0,0,0,"E20;13;E20;14;E20"
36283480,"UK","UKE","UKE1",53.969098269,-0.602125026,"01/05/15",1,"",1,14,53.969116,"W",0.602104,147,2,1,"B13","8",4,"8","8",8,1,"U111","8",7,"8","8",8,3,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B13;01;13;01;62;24;E20;13;01;24;01;B11;01;13;01;B11"
34963640,"UK","UKM","UKM9",55.191361657,-3.030234904,"20/08/15",1,"",1,18,55.191402,"W",3.030229,259,0,1,"E10","8",7,"8","8",8,2,"U420","8",7,"8","8",8,3,1,1,8,1,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,5,5,90,0,0,0,0,"E10;61;E20;D20;E30"
35003484,"UK","UKD","UKD4",53.821317441,-2.53714914,"15/05/15",1,"",1,15,53.821407,"W",2.536947,111,18,1,"G11","8",7,"8","8",8,1,"U420","8",7,"8","8",8,1,8,8,8,8,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"G11;E20;23;01;C10;31;C10;E20;C10"
35223484,"UK","UKD","UKD4",53.854964065,-2.207242236,"24/04/15",1,"",1,15,53.854943,"W",2.207113,199,9,1,"C10","8",5,"8","8",8,2,"U111","8",7,"8","8",8,1,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,65,0,35,0,0,0,0,"C10;21;F40;61;F40;23;E20;21;E20"
35643484,"UK","UKE","UKE2",53.916730522,-1.576096567,"23/06/15",3,"",2,8888,88.888888,"8",88.888888,8888,8888,1,"E20","8",7,"8","8",8,2,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,8,2,2,2,2,0,0,0,100,0,0,0,0,"PI;E20;31;E20;13;E20;23;10;31;E20;PI"
35903484,"UK","UKE","UKE2",53.953338538,-1.184545785,"05/06/15",1,"",1,18,53.953457,"W",1.184622,70,14,1,"C10","8",7,"8","8",8,1,"U420","8",7,"8","8",8,1,8,8,8,2,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,0,100,0,0,0,0,0,0,"C10;E20;62;C10;62;23;E20;23;62;E10"
36263484,"UK","UKE","UKE1",54.001963716,-0.641378953,"30/04/15",1,"",1,13,54.00197,"W",0.641402,165,2,1,"B13","8",7,"8","8",8,1,"U111","8",7,"8","8",8,4,8,8,8,2,7,4,5,8,8,8,4,8,8,8,1,1,1,1,1,0,0,0,0,0,0,0,0,"B13"
35223640,"UK","UKC","UKC2",55.23277288,-2.627687103,"11/06/15",3,"",1,18,55.228739,"W",2.588061,285,2553,1,"C21","C21E",7,"8","8",8,1,"U120","8",7,"8","8",8,4,2,2,2,1,7,4,8,8,8,8,4,8,8,8,1,1,1,1,1,100,0,0,0,0,0,0,0,"PI;C21;61;C21;PI"
